No,provinsi,Sungai,2017,2018,2019,2020,2021,2022
106,SULAWESI TENGGARA,Lasolo,Cemar Ringan Cemar Sedang,Cemar Ringan,Cemar Ringan,Cemar Ringan,Memenuhi Cemar Ringan,Cemar Ringan
107,GORONTALO,Randangan,Cemar Berat,Cemar Berat,Cemar Berat,Cemar Berat,Cemar Ringan,Cemar Ringan
108,GORONTALO,Andagile,Cemar SedangCemar Berat,Cemar SedangCemar Berat,Cemar SedangCemar Berat,Cemar SedangCemar Berat,Cemar Ringan,Cemar Ringan
109,GORONTALO,Limboto,,,Cemar Berat,Cemar Berat,Cemar Ringan,Cemar Ringan
110,SULAWESI BARAT,Lariang,Cemar Berat,Cemar SedangCemar Berat,Cemar Sedang  Cemar Berat,Cemar SedangCemar Berat,Cemar Ringan,Cemar Ringan
111,SULAWESI BARAT,Mandar,Cemar Berat,Cemar Berat,Cemar Berat,Cemar Berat,Cemar Ringan,Cemar Ringan
112,SULAWESI BARAT,Mamasa,Cemar sedangCemar Berat,Cemar SedangCemar Berat,Cemar Sedang  Cemar Berat,Cemar SedangCemar Berat,Cemar Ringan,Cemar Ringan
113,MALUKU,Batu Gajah,Cemar Sedang  Cemar Berat,Cemar SedangCemar Berat,Cemar Sedang  Cemar Berat,Cemar SedangCemar Berat,Cemar Ringan,Cemar Ringan
114,MALUKU,Wai Sah,Cemar Sedang  Cemar Berat,Cemar SedangCemar Berat,Cemar Sedang  Cemar Berat,Cemar SedangCemar Berat,Cemar Ringan,Cemar Ringan
115,MALUKU,Bomaki,Cemar SedangCemar Berat,Cemar Sedang,Cemar Sedang,Cemar Sedang,Cemar Ringan,Cemar Ringan
116,MALUKU,Way Batu Gantung,Cemar SedangCemar Berat,Cemar SedangCemar Berat,Cemar Sedang  Cemar Berat,Cemar SedangCemar Berat,,
117,MALUKU,Way Batu Merah,Cemar Berat,Cemar Berat,Cemar Berat,Cemar Berat,Cemar Ringan,
118,MALUKU,Way Tomu,Cemar Berat,Cemar Berat,Cemar Berat,Cemar Berat,,
